10.2307/j100006|Brittonia
10.2307/j50000643|The American Review of Soviet and Eastern European Foreign Trade
10.2307/j50000644|Soviet and Eastern European Foreign Trade
10.2307/j50000645|Russian and East European Finance and Trade
10.2307/j50000646|Emerging Markets Finance &amp; Trade
10.2307/j50000648|Public Affairs Quarterly
10.2307/j50000649|L'Année épigraphique
10.2307/j50000476|Bulletin of the American Association of University Professors
10.2307/j50000641|The Australian Quarterly
10.2307/j50000640|AQ: Australian Quarterly
10.2307/j50000642|Science &amp; Society
10.2307/j50000713|symplok?
10.2307/j50000718|The Advocate of Peace (1894-1920)
10.2307/j50000703|Bibliothèque d'Humanisme et Renaissance
10.2307/j50000728|Newsletter of the Victorian Studies Association of Western Canada
10.2307/j50000723|Urban Anthropology and Studies of Cultural Systems and World Economic Development
10.2307/j50000709|The Geographical Teacher
10.2307/j50000729|Victorian Review
10.2307/j50000753|Entomologica Americana
10.2307/j50000748|Journal of the University Film and Video Association
10.2307/j50000756|Boom: A Journal of California
10.2307/j50000771|Math Horizons
10.2307/j50000765|Journal of Human Capital
10.2307/j50000766|Journal of Medieval Religious Cultures
10.2307/j50000775|The Pluralist
10.2307/j50000776|Publications of the Astronomical Society of the Pacific
10.2307/j50000787|The Journal of Speculative Philosophy
10.2307/j50000768|Journal of Nietzsche Studies
10.2307/j50000777|Radical Teacher
10.2307/j50000769|Jung Journal: Culture &amp; Psyche
10.2307/j50000778|Shaw
10.2307/j50000783|Utopian Studies
10.2307/j50000788|Prooftexts
10.2307/j50000700|Proceedings of the Annual Meeting (American Society of International Law)
10.2307/j50000737|Indiana Magazine of History
10.2307/j50000790|Caribbean Quarterly
10.2307/j50000802|Prairie Schooner
10.2307/j50000647|American Libraries
10.2307/j50000669|History and Memory
10.2307/j50000665|The Washington Historical Quarterly
10.2307/j50000666|The Pacific Northwest Quarterly
10.2307/j50000674|Historical Archaeology
10.2307/j50000676|Nebraska Journal of Economics and Business
10.2307/j50000677|Quarterly Journal of Business and Economics
10.2307/j50000678|Quarterly Journal of Finance and Accounting
10.2307/j50000672|Erdkunde
10.2307/j50000686|Renacimiento
10.2307/j50000683|Chymia
10.2307/j50000684|Historical Studies in the Physical Sciences
10.2307/j50000685|Historical Studies in the Physical and Biological Sciences
10.2307/j50000687|Indiana Journal of Global Legal Studies
10.2307/j50000691|Política Exterior
10.2307/j50000689|Behaviorism
10.2307/j50000690|Behavior and Philosophy
10.2307/j50000688|Indian Journal of Industrial Relations
10.2307/j50000694|A.A.V. Newsletter
10.2307/j50000682|Revue d'Histoire littéraire de la France
10.2307/j50000692|Arctic
10.2307/j50000679|Bulletin of the Associates in Fine Arts at Yale
10.2307/j50000681|Yale University Art Gallery Bulletin
10.2307/j50000673|Arizona Journal of Hispanic Cultural Studies
10.2307/j50000706|Revista de Arqueología Americana
10.2307/j50000670|Zeitschrift für deutsches Alterthum
10.2307/j50000671|Zeitschrift für deutsches Altertum und deutsche Literatur
10.2307/j50000650|International Journal of Electronic Commerce
10.2307/j50000651|State Politics &amp; Policy Quarterly
10.2307/j50000657|Historia y Fuente Oral
10.2307/j50000658|"Historia, Antropología y Fuentes Orales"
10.2307/j50000654|Journal of Marketing Theory and Practice
10.2307/j50000710|Geography
10.2307/j50000746|Journal of the University Film Producers Association
10.2307/j50000747|Journal of the University Film Association
10.2307/j50000754|"Afterall: A Journal of Art, Context, and Enquiry"
10.2307/j50000749|Journal of Film and Video
10.2307/j50000755|"Black Women, Gender + Families"
10.2307/j50000751|Women in German Yearbook
10.2307/j50000757|e-Service Journal
10.2307/j50000758|Fire!!!
10.2307/j50000759|Gastronomica: The Journal of Food and Culture
10.2307/j50000760|The Good Society
10.2307/j50000761|History of the Present
10.2307/j50000762|HOPOS: The Journal of the International Society for the History of Philosophy of Science
10.2307/j50000763|International Legal Materials
10.2307/j50000770|Legacy
10.2307/j50000764|Journal of Animal Ethics
10.2307/j50000767|The Journal of Modern Periodical Studies
10.2307/j50000779|Storyworlds
10.2307/j50000781|Symbolic Interaction
10.2307/j50000782|Transportation Journal
10.2307/j50000785|West 86th
10.2307/j50000789|Studies in the Decorative Arts
10.2307/j50000786|Historical Studies in the Natural Sciences
10.2307/j50000697|Proceedings of the American Society of International Law at Its Annual Meeting (1907-1917)
10.2307/j50000698|Proceedings of the American Society of International Law at the Meeting of Its Executive Council
10.2307/j50000699|Proceedings of the American Society of International Law at Its Annual Meeting (1921-1969)
10.2307/j50000752|The Journal of General Education
10.2307/j50000750|Torreya
10.2307/j50000791|Journal of Managerial Issues
10.2307/j50000736|The Indiana Quarterly Magazine of History
10.2307/j50000739|Zeitschrift für neufranzösische Sprache und Literatur
10.2307/j50000740|Zeitschrift für französische Sprache und Literatur
10.2307/j50000735|Musurgia
10.2307/j50000794|La Revue administrative
10.2307/j50000744|Questions Féministes
10.2307/j50000745|Nouvelles Questions Féministes
10.2307/j50000680|Yale Art Gallery Bulletin
10.2307/j50000701|Feminist Teacher
10.2307/j50000711|Dossier-CIDOB
10.2307/j50000712|DCIDOB
10.2307/j50000714|Chronology of International Events and Documents
10.2307/j50000715|Chronology of International Events
10.2307/j50000702|Humanisme et Renaissance
10.2307/j50000719|Advocate of Peace through Justice
10.2307/j50000720|World Affairs
10.2307/j50000721|The American Poetry Review
10.2307/j50000717|Pennsylvania Legacies
10.2307/j50000724|French Forum
10.2307/j50000727|Sudanic Africa
10.2307/j50000722|Urban Anthropology
10.2307/j50000708|Annalen der Philosophie
10.2307/j50000716|The Georgia Historical Quarterly
10.2307/j50000695|Le Travail Humain
10.2307/j50000725|Afers Internacionals
10.2307/j50000726|Revista CIDOB d'Afers Internacionals
10.2307/j50000772|Music and the Moving Image
10.2307/j50000773|New Criminal Law Review: An International and Interdisciplinary Journal
10.2307/j50000774|Nova Religio: The Journal of Alternative and Emergent Religions
10.2307/j50000780|Studies in American Indian Literatures
10.2307/j50000784|Visual Arts Research
10.2307/j50000693|Bulletin of International News
10.2307/j50000663|Cahiers Ferdinand de Saussure
10.2307/j50000696|Salmagundi
10.2307/j50000707|Revista Canadiense de Estudios Hispánicos
10.2307/j50000732|Demografía y economía
10.2307/j50000661|Black Camera
10.2307/j50000738|Anuario de Estudios Centroamericanos
10.2307/j50000734|Décisions Marketing
10.2307/j50000742|Qui Parle
10.2307/j50000743|Recherche et Applications en Marketing
10.2307/j50000659|International Journal of Sociology
10.2307/j50000615|American Academy Notes
10.2307/j50000616|Illustrated Art Notes upon the Annual Exhibition of the National Academy of Design
10.2307/j50000617|"National Academy Notes including the Complete Catalogue of the Spring Exhibition, National Academy of Design"
10.2307/j50000660|Journal of Vietnamese Studies
10.2307/j50000655|International Journal of Politics
10.2307/j50000656|International Journal of Political Economy
10.2307/j50000662|Journal of Empirical Research on Human Research Ethics: An International Journal
10.2307/j50000667|Federal Sentencing Reporter
10.2307/j50000668|Caribbean Studies
10.2307/j50000664|The Journal of Personal Selling and Sales Management
10.2307/j50000652|Dialogue
10.2307/j50000653|Administrative Theory &amp; Praxis
10.2307/j50000634|Zeitschrift für hochdeutsche Mundarten
10.2307/j50000635|Zeitschrift für Deutsche Mundarten
10.2307/j50000636|Teuthonista
10.2307/j50000637|Zeitschrift für Mundartforschung
10.2307/j50000638|Zeitschrift für Dialektologie und Linguistik
10.2307/j50000733|Studia Musicologica
10.2307/j50000731|Pennsylvania History
10.2307/j50000799|KulturPoetik
10.2307/j50000800|Journal of the Central Mississippi Valley American Studies Association
10.2307/j50000795|Midcontinent American Studies Journal
10.2307/j50000796|American Studies
10.2307/j50000804|Estudios Atacameños
10.2307/j50000807|Chungara: Revista de Antropología Chilena
10.2307/j50000806|Health Transition Review
10.2307/j50000809|Boletín Informativo Sobre Estudios Latinoamericanos en Europa
10.2307/j50000810|Boletín de Estudios Latinoamericanos
10.2307/j50000811|Boletín de Estudios Latinoamericanos y del Caribe
10.2307/j50000812|Revista Europea de Estudios Latinoamericanos y del Caribe / European Review of Latin American and Caribbean Studies
10.2307/j50000805|"Alternatives: Global, Local, Political"
10.2307/j50000813|Philosophy of Music Education Newsletter
